"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.6489970293539","33.0092857665332","32.6020251380612","31.4332222504366","30.2099045621114","29.1535007207339","28.791678582772","28.245725096742","26.9129253482496","26.052020175526","25.3435899786525","25.2947852026102","24.096405841884","23.2218911026055","22.8243596985423","22.9678452001793","23.2948089875467","23.4054985199554","24.5240799386149","","",
"Afghanistan","AFG","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.8","45.6","40.6","38","36.1","33.3","29.8","26.5","24.4","23.7","24.7","28.2","26.3","24.2","21.5","22.2","23","23.4","25.6","","",
"Africa Western and Central","AFW","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.1549187451976","15.7171453055752","15.2048314341574","14.5404404541054","13.7527097297308","13.1710656850578","12.6458633496875","12.3797996360593","11.9706200591492","11.8006461454272","11.507321127243","11.9024839261223","11.8262439027477","11.9190878703142","11.6906881225015","11.7381763448693","12.0050427251117","12.4207298214421","14.6320737239859","","",
"Angola","AGO","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.5","63.2","58.7","55.1","52.2","49.3","46.1","42.9","33.2","24.4","17.2","16.3","15","14.2","14.5","15.4","15.4","15.5","17.3","","",
"Albania","ALB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9","6.1","7.5","8.6","8.9","8.8","8.3","7.3","5.9","4.9","4.1","3.5","3.9","4.4","4.7","4.3","4.1","4","3.9","","",
"Andorra","AND","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5514990135662","12.4668542126115","12.6575773855786","12.8571847698126","12.729601036436","12.4832656799057","12.2737489861674","12.133785849068","12.5390061500489","13.3092861923119","13.8334360345643","13.9448230701667","13.2200911505442","13.0744708967313","13.1622748454256","13.5185430150543","13.6713262050101","13.6079202926922","14.0079257145602","","",
"United Arab Emirates","ARE","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","4.4","5.9","7.7","8.8","9.2","9","8.2","7.4","6.3","5.5","4.4","3.6","2.9","2.7","2.9","3.2","3.4","3.7","","",
"Argentina","ARG","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3.8","4.5","4","3.7","3.4","3.3","3.3","3.3","3.4","3.3","3.1","2.8","2.5","2.5","2.6","3.1","3.5","3.9","","",
